Name,number,Unit price,Price,Link,,,nots1,not2
poards ( Processing & controlling ),,,,,,,,
Arduino UNO SMD,1,325,325,https://www.ampere-electronics.com/product/arduino-uno-smd-with-usb-cable/,,,,
,,,,,,,,
Sensors,,,,,,,,
webCame,1,100,100,,,,,
,,,,,,,,
Actuators,,,,,,,,
MG90S Micro Servo Motor 2.2 kg.cm Metal Gears,1,145,145,https://www.ampere-electronics.com/product/mg90s-micro-servo-motor/,,,,
GW370 DC 12V 80rpm Encoder Motor High Torque Geared Motor,1,600,600,https://www.ampere-electronics.com/product/25ga370-dc-gear-motor-encoder-200rpm/,,,,
,,,,,,,,
Drivers,,,,,,,,
L298N Motor Driver Module,1,65,65,https://www.ampere-electronics.com/product/l298n-motor-driver-module/,,,,
,,,,,,,,
Mechanical parts,,,,,,,,
"KP000 Pillow Block Bearing, Bore Dia. 10",4,45,180,https://www.ampere-electronics.com/product/kp000-pillow-block-bearing/,,,,
25GA370 Geared Motor Holder Bracket,1,30,30,https://www.ampere-electronics.com/product/25ga370-geared-motor-holder/,,,,
,,,,,,,,
Power & connectors & cooler & others,,,,,,,,
AC Power Adapter 12Vdc / 2A,1,50,50,https://www.ampere-electronics.com/product/ac-power-adapter-12vdc-2a/,,,,
Switch ON-OFF,1,3,3,https://www.ampere-electronics.com/product/boat-rocker-switch-on-off-black-6a250vac/,,,,
Female DC Power Plug to 2-Pin Screw Terminal,1,10,10,https://www.ampere-electronics.com/product/female-dc-power-plug-to-2-pin-screw-terminal/,,,,
printer cable 2m,1,25,25,,,,,
Male to Female – 20cm 10 Pin Jumpe,1,7.5,7.5,https://www.ampere-electronics.com/product/male-to-female-20cm-40-pin-jumper-wire-set-3/,,,,
,,,,,,,,
materials,,,,,,,,
wood (its ores and manufacturing wages),,,1000,,,,,
turning + belt,,,600,,,,,
,,,,,,,,
,,,,,,,,
total shopping cost,,,2140.5,,,,,
total components number,,,15,,,,,
shipping cost (الشحن),,,300,,,,,
total,,,2440.5,,,,,